,UserID,Item1,Item2,bitClassification
230,2984,3053,3235,1
231,2328,1846,320,1
232,5169,858,65,1
233,481,3329,3068,0
234,2307,37,2369,1
235,1002,1631,3135,0
236,3525,1037,879,0
237,1253,3033,3500,1
238,2075,540,2511,0
239,3520,2608,581,0
240,3681,886,1071,1
241,3618,3031,3671,1
242,5714,769,60,1
243,2151,3207,2431,1
244,4919,1471,2991,0
245,4174,3541,1196,0
246,3242,278,202,0
247,5032,3635,634,0
248,1580,1743,2756,0
249,3111,1608,726,1
250,5350,708,957,0
251,1129,406,2708,0
252,2147,3393,3373,1
253,4855,1482,2689,1
254,415,831,3544,1
255,489,3102,2502,1
256,891,541,828,0
257,275,3432,2760,1
258,1763,3142,1380,1
259,1829,1900,528,0
260,1257,2840,2313,1
261,3882,244,738,0
262,137,2529,320,1
263,17,3214,540,1
264,4023,512,151,0
265,1843,3296,2524,1
266,643,2032,2846,0
267,5225,1357,2215,0
268,5106,3341,340,1
269,4622,782,18,0
270,5851,3663,2796,1
271,2563,2364,809,1
272,1850,313,3662,0
273,4517,2062,361,1
274,3544,1590,1432,1
275,660,18,54,0
276,2966,1900,1533,0
277,5765,1780,13,1
278,289,2618,961,1
279,2884,213,557,1
280,4094,1418,2524,1
281,2336,2990,1450,0
282,5130,877,1643,0
283,827,2721,851,1
284,1622,2149,1140,0
285,3011,2400,2685,0
286,2789,3147,1594,1
287,1134,2875,814,1
288,351,1475,782,1
289,1851,1230,1402,0
290,2069,127,2768,0
291,5140,2414,3217,1
292,5739,1906,287,1
293,5653,789,291,0
294,1641,3408,2878,0
295,1386,1209,708,1
296,3584,3615,2721,0
297,5561,1357,3134,0
298,5943,753,2830,1
299,5364,1828,3487,0
300,1338,764,926,0
301,4839,1325,3062,1
302,4028,249,1530,0
303,3409,1661,3100,1
304,2,1704,630,1
305,4875,3402,2186,0
306,5953,1849,1404,0
307,2039,2827,245,0
308,4736,3293,2524,1
309,1470,814,2661,0
310,1518,2728,2073,1
311,4640,2002,3224,1
312,671,3492,406,1
313,5470,2652,1886,1
314,304,3112,1149,0
315,396,3438,2793,1
316,4760,2251,127,1
317,5269,2750,1037,1
318,981,1770,678,1
319,4947,1137,1117,1
320,560,236,439,1
321,1579,2099,1275,0
322,3581,2747,1159,1
323,1301,2797,3675,0
324,445,1502,12,0
325,5747,860,2920,0
326,2774,299,373,1
327,5488,1408,1874,1
328,1232,3690,3224,1
329,2181,3084,129,1
330,3586,1253,735,0
331,4793,2491,752,0
332,4822,3360,933,1
333,3698,2796,1813,1
334,2577,1155,1507,1
335,1390,75,2240,1
336,472,3367,3112,1
337,5768,2625,2198,0
338,1055,3260,2745,1
339,3919,2692,1911,1
340,3178,305,715,0
341,4007,1003,3291,0
342,5013,2938,2990,1
343,3386,3620,1614,0
344,2742,3273,1574,1
345,4421,2506,242,1
346,3198,1793,1849,1
347,5613,948,1564,1
348,2466,3321,2016,1
349,3798,968,3500,1
350,5062,3007,638,1
351,5196,273,2255,1
352,5799,162,2696,0
353,354,40,1703,0
354,5381,1851,1331,1
355,1404,327,3523,1
356,1330,2419,2883,0
357,2909,2997,433,1
358,5996,1461,541,1
359,1776,2088,575,1
360,5000,3002,1529,1
361,3816,788,2262,0
362,1791,463,775,1
363,2257,183,557,1
364,3983,2764,1167,1
365,3136,1861,745,1
366,4942,512,3175,0
367,5907,418,884,1
368,5170,2495,266,1
369,3990,897,1201,1
370,104,1068,1107,0
371,2446,2110,925,0
372,2623,2306,1095,1
373,426,1469,406,1
374,796,1604,184,0
375,5532,3267,3442,0
376,2512,481,1986,1
377,3486,545,532,1
378,5115,2475,2553,1
379,808,2912,2983,1
380,4438,3334,231,0
381,4121,2115,853,0
382,1835,1785,2830,1
383,118,3651,466,1
384,3342,2011,349,1
385,2802,2859,3694,1
386,3634,3315,2996,1
387,586,2539,638,1
388,6019,2681,3092,0
389,2109,2374,2399,0
390,3974,3344,779,0
391,1040,884,2629,0
392,3063,1748,3493,0
393,2480,1653,2890,0
394,1933,2425,658,0
395,353,1136,2982,0
396,2525,292,289,0
397,2638,1759,1900,1
398,3361,882,964,0
399,2093,3251,127,1
400,1391,493,1524,1
401,1825,14,1363,0
402,52,2642,1421,0
403,2482,3072,1147,0
404,1298,1439,2560,0
405,1467,1448,1906,1
406,3942,1895,2141,1
407,5161,2241,429,0
408,2814,1486,1145,0
409,754,1003,716,0
410,5297,1068,1925,0
411,2132,3028,3353,0
412,1354,1892,3029,0
413,747,1079,2530,0
414,2724,3330,384,0
415,5373,2431,549,0
416,410,2677,3297,1
417,2981,1645,888,0
418,1537,843,3062,1
419,1201,2887,773,1
420,4186,3615,2025,0
421,661,2605,3205,0
422,3484,3158,967,0
423,3677,1659,3190,0
424,4878,2213,1386,1
425,2095,3093,3605,1
426,648,220,1118,0
427,1154,745,1019,1
428,5563,3476,3406,0
429,2628,240,609,1
430,4379,123,299,1
431,2417,1155,646,0
432,739,1959,2513,1
433,3282,290,2265,0
434,267,2291,1458,0
435,2255,1557,2808,0
436,2861,1037,500,0
437,5316,1637,2738,1
438,665,995,1481,0
439,1674,1019,3639,0
440,5686,936,3566,1
441,5784,60,2084,0
442,1533,2003,2407,1
443,698,952,388,0
444,813,1499,1529,1
445,1619,2603,2063,1
446,3997,553,290,1
447,1646,3158,2768,0
448,551,3106,1772,0
449,5553,299,33,0
450,142,2862,2031,0
451,2825,2734,170,1
452,4179,1740,1570,0
453,3878,3634,2721,0
454,4252,123,2335,1
455,230,1253,2990,1
456,5203,3574,2500,0
457,793,784,2104,0
458,877,479,1235,1
459,2515,751,254,1
460,3805,1417,706,0
461,3457,1268,595,0
462,3968,2110,634,0
463,2866,2345,2211,1
464,4263,2781,1078,1
465,5565,2179,55,0
466,33,950,1117,1
467,2292,1093,604,1
468,5924,1329,642,0
469,1408,3237,127,1
470,3013,2396,1300,0
471,5673,647,181,0
472,5093,1879,3594,0
473,1557,613,1555,1
474,4647,641,2738,1
475,147,1676,675,1
476,1650,1228,2259,1
477,4486,128,2013,1
478,2010,1486,1380,0
479,3022,1397,2400,1
480,246,1959,2970,0
481,2924,995,1446,0
482,93,1811,473,1
483,4729,2167,314,1
484,522,1071,3526,0
485,2416,1729,2538,1
486,3142,772,360,0
487,1454,3652,2091,0
488,1022,1279,2433,1
489,4318,2356,220,1
490,220,1127,2102,1
491,2060,39,3075,0
492,3759,2609,3605,1
493,467,874,2378,1
494,2729,1845,3392,1
495,1977,2209,1584,1
496,2998,2993,2599,0
497,5865,79,3238,1
498,3034,1543,2862,1
499,4461,1599,2677,0
500,546,700,1075,1
501,791,1142,1486,1
502,1884,1360,1758,0
503,4542,1360,703,0
504,480,1810,3497,1
505,4868,3325,508,1
506,1185,3614,321,0
507,4561,955,3634,1
508,861,858,1174,0
509,2509,1160,2005,1
510,4462,1083,2933,0
511,5412,1759,635,0
512,5435,2340,2810,1
513,1167,358,189,0
514,2777,1310,740,0
515,2494,1522,1858,0
516,3273,247,3169,0
517,4062,854,2669,0
518,770,1833,529,0
519,1326,884,1584,0
520,189,3074,1243,1
521,1443,1695,1092,0
522,2618,85,3436,0
523,688,1941,277,1
524,3833,102,1515,0
525,3072,2780,1354,0
526,547,406,1205,0
527,3637,845,638,1
528,3370,3312,3614,1
529,263,1859,988,1
530,339,1675,2520,1
531,2045,1930,2349,0
532,1340,282,2806,1
533,4951,723,1524,0
534,203,2524,1059,0
535,4078,1280,3154,1
536,1437,410,195,1
537,5401,3467,3299,0
538,5832,1942,1386,1
539,2249,1094,2013,1
540,3113,2582,3143,0
541,3189,1817,1584,1
542,3740,436,2928,0
543,4010,44,1692,1
544,4501,1944,920,1
545,3315,1103,3072,1
546,550,978,988,1
547,2529,3675,1327,0
548,1553,3062,78,0
549,920,2780,1226,0
550,2938,138,2564,0
551,5409,1189,178,0
552,4141,1476,2447,1
553,5294,2045,2263,1
554,3420,3064,3532,1
555,1826,1373,3071,1
556,2699,2112,845,0
557,3799,1437,2971,1
558,4707,258,2994,1
559,1937,3458,299,1
560,1049,18,2580,0
561,2759,606,350,0
562,3476,643,3095,0
563,3440,3543,3461,1
564,3078,2127,1529,1
565,4710,228,1661,1
566,1255,3018,2465,0
567,792,264,52,1
568,393,3337,1757,0
569,1678,1770,1341,1
570,757,3217,2407,1
571,4194,2858,1266,0
572,2271,3003,1626,0
573,5117,2407,3252,0
574,4794,181,1387,0
575,1046,532,1363,0
576,2049,1,2585,0
577,2473,143,287,1
578,4787,1759,3666,1
579,3744,780,1261,0
580,1614,1636,1567,1
581,4570,1008,2086,1
582,561,3486,1323,0
583,1314,2400,1900,1
584,1283,3035,3515,0
585,3827,1899,2431,1
586,3945,3168,1327,0
587,5754,2022,157,1
588,2244,839,2626,1
589,5290,751,743,0
590,1570,2797,1738,0
591,3567,423,3444,0
592,302,482,1963,1
593,2144,3408,1925,1
594,966,1352,3504,0
595,1349,1953,1579,0
596,5957,1850,2430,1
597,2403,2282,661,0
598,3648,2736,1227,1
599,2747,733,1057,0
600,3168,3299,108,0
601,2281,675,635,0
602,3782,2898,715,0
603,4766,400,948,1
604,2713,1201,585,0
605,5804,2777,2697,1
606,2667,3002,2462,1
607,1747,2400,2917,1
608,878,853,3523,1
609,5710,3497,2182,0
610,3582,1562,1004,1
611,231,3020,319,1
612,1029,1631,2732,0
613,3580,1872,1311,0
614,3564,2085,1661,1
615,2108,37,2883,0
616,3761,3232,3541,1
617,3160,1117,384,0
618,3416,2867,1,1
619,1246,2940,919,0
620,3363,622,412,1
621,762,489,3652,1
622,1114,241,566,0
623,968,1559,3166,0
624,2133,2400,468,0
625,4044,278,874,0
626,636,2400,3274,0
627,2324,884,854,0
628,4638,1150,916,1
629,2756,258,1438,1
630,5445,375,184,1
631,1428,3163,2458,1
632,849,644,225,1
633,1370,2705,284,0
634,2901,1072,434,0
635,5189,3373,1826,0
636,1135,2319,591,1
637,2406,746,340,1
638,3489,1046,3406,0
639,3600,2029,3408,1
640,3239,1858,3085,1
641,2780,814,3198,0
642,2471,582,2682,1
643,2688,3522,3086,1
644,5658,1712,2390,1
645,1202,678,2022,0
646,3441,351,175,1
647,2013,775,3483,0
648,4898,1643,3365,1
649,2595,807,2425,1
650,2020,1546,879,0
651,5328,1555,3530,0
652,2452,538,398,0
653,4852,622,408,1
654,1486,3398,3260,0
655,5213,3621,1499,1
656,3617,1190,2314,0
657,5723,436,42,0
658,4314,2899,2778,0
659,832,1283,127,1
660,4946,2453,2390,1
661,4043,958,2758,0
662,2304,1743,1769,0
663,1745,1486,405,1
664,2439,2718,3052,0
665,3372,1431,1503,1
666,4933,1935,2863,0
667,883,2473,585,0
668,5973,1098,2742,0
669,5560,1123,3541,1
670,5880,290,3305,0
671,180,2953,2864,0
672,3137,3016,882,0
673,3220,1632,2913,1
674,1403,2776,1154,1
675,5570,635,10,0
676,5021,3101,1133,1
677,1076,1227,2868,1
678,2112,3180,638,1
679,250,2003,2935,1
680,345,2830,1858,0
681,2579,641,619,0
682,5475,2121,590,0
683,122,3344,1917,0
684,2573,767,2626,0
685,4603,2386,1765,0
686,2337,1810,2532,1
687,3883,3527,234,1
688,3649,1533,722,0
689,5999,2407,656,0
690,4204,3197,2976,0
691,3686,951,1704,0
692,5374,1638,299,1
693,2083,40,3652,0
694,6027,3698,1814,0
695,2252,2013,1731,0
696,1412,547,867,0
697,787,357,838,1
698,3403,2846,1265,1
699,4329,3694,967,1
700,280,364,1068,1
701,5045,1988,2036,1
702,3389,299,844,0
703,2589,3677,1630,0
704,4720,2411,123,0
705,5654,2169,905,0
706,1965,1969,2261,1
707,5080,2553,347,0
708,5939,1026,3044,0
709,4882,3053,2181,1
710,4695,186,2290,1
711,3602,8,153,0
712,3281,554,2333,1
713,4845,1631,2759,0
714,3300,1062,1392,0
715,934,2913,3232,0
716,5267,469,3062,1
717,5770,2016,1526,0
718,4837,2528,1759,1
719,4353,2452,161,1
720,3994,2491,259,0
721,3182,1614,408,1
722,115,305,3695,0
723,1102,2109,222,1
724,790,1305,3500,1
725,2903,188,3069,0
726,4254,2077,1209,0
727,2829,2632,2306,0
728,5805,3619,2985,1
729,5029,2909,3492,0
730,487,2860,434,0
731,912,3514,36,1
732,266,300,189,1
733,674,1181,3418,1
734,486,1505,296,0
735,4095,1541,3677,1
736,3493,3396,281,1
737,1321,423,2293,0
738,2710,2439,3005,1
739,3210,1900,1286,0
740,5321,477,295,1
741,3578,2712,2681,1
742,479,868,2295,0
743,3904,1432,1034,0
744,2682,3002,840,1
745,2091,2648,807,0
746,3421,2151,3523,1
747,886,795,3607,0
748,4361,287,450,0
749,2992,1620,792,1
750,4914,2667,1529,1
751,4518,2334,542,1
752,1427,202,1972,1
753,2371,3666,1778,0
754,3490,1611,1531,0
755,4895,3036,2547,0
756,2499,676,2742,0
757,992,3118,596,0
758,1676,1027,443,0
759,1773,363,753,0
760,2840,1245,948,1
761,3791,1290,639,1
762,497,103,2035,1
763,6017,3289,2810,1
764,554,2211,854,0
765,2392,3546,3106,1
766,2407,2101,131,0
767,1278,301,1336,0
768,1248,3220,1462,1
769,3815,2669,2310,0
770,5138,3376,3373,1
771,4686,3598,2009,1
772,5457,384,127,1
773,3562,1662,1880,1
774,3558,1980,1385,1
775,2862,3142,2128,0
776,2769,1723,1074,1
777,4373,1894,3586,1
778,431,1758,3124,1
779,4414,1900,3403,0
780,401,2337,1386,1
781,5622,2282,2325,0
782,558,1380,2204,1
783,4478,1428,864,0
784,5250,1692,503,0
785,2474,2863,378,0
786,4891,2161,645,1
787,300,716,1555,1
788,245,44,340,1
789,3745,532,2939,0
790,2353,1836,1484,1
791,443,2950,423,1
792,2902,1221,2160,0
793,2746,2135,2818,0
794,3097,3684,869,0
795,5273,992,308,1
796,5067,2010,2018,0
797,617,2621,1654,0
798,5678,423,2577,0
799,1649,3197,1062,1
800,5966,176,1914,1
801,5646,616,1574,1
802,1860,446,3003,1
803,4427,538,2128,0
804,2946,437,1609,1
805,515,267,515,0
806,932,2510,1784,1
807,5694,327,2279,1
808,124,406,2020,0
809,5759,2727,1627,0
810,4771,1550,2403,0
811,1479,851,595,0
812,3134,2244,1203,1
813,4861,2262,1128,0
814,1960,126,3132,0
815,4448,1749,2621,1
816,805,3110,3498,0
817,1577,1015,1658,0
818,3917,1452,3593,1
819,5762,1250,2340,1
820,744,3213,2814,1
821,3573,1651,779,1
822,3620,3426,2324,1
823,1895,169,2835,0
824,6038,3224,553,0
825,174,2200,2105,1
826,3535,1880,985,1
827,4625,3419,629,1
828,5264,299,725,0
829,81,2035,449,0
830,3009,3235,1220,0
831,4416,1791,285,0
832,5500,745,1241,0
833,1712,173,3273,0
834,2414,10,263,0
835,3132,1156,3226,0
836,5773,2697,458,0
837,4276,2599,75,1
838,5883,3455,2088,1
839,1069,775,2138,1
840,1468,449,1432,0
841,3429,565,721,0
842,662,1969,648,1
843,3623,1111,3695,1
844,3217,957,3373,1
845,1426,2495,3106,1
846,2817,125,2183,0
847,1039,2410,1546,1
848,2205,1268,1857,0
849,761,2044,2570,1
850,1583,1677,331,0
851,6014,2324,2109,0
852,3519,468,1782,1
853,3498,258,3408,1
854,1104,347,2830,1
855,2694,406,663,0
856,5059,2409,1888,1
857,4815,540,2386,1
858,5437,3062,3174,0
859,2179,986,1864,0
860,2117,3541,3435,0
861,3088,2374,2179,1
862,15,3035,2705,1
863,5066,3243,1415,0
864,1608,782,2853,0
865,4434,449,1665,0
866,5504,3618,730,0
867,1973,3100,2136,0
868,4009,2951,2806,1
869,3437,1116,2258,0
870,693,3251,2077,1
871,47,3624,3086,1
872,1677,937,943,1
873,2858,3333,306,0
874,3857,995,1136,0
875,1708,838,3044,0
876,227,2224,1201,1
877,2364,2458,916,0
878,3375,1702,3174,0
879,1762,2580,1760,1
880,4943,937,2628,1
881,3277,3176,3225,1
882,946,3607,2236,0
883,382,2956,2836,1
884,4380,1484,115,0
885,537,2639,3493,0
886,1827,660,3408,1
887,2586,2090,2611,0
888,2092,3384,2880,1
889,3696,108,1029,0
890,3381,1753,951,1
891,3394,127,2192,0
892,3670,2022,1731,1
893,2033,2462,2938,0
894,3664,49,2211,1
895,5073,1831,3069,0
896,4202,2949,1982,1
897,3739,405,2317,0
898,2796,606,822,0
899,1609,1677,604,0
900,4700,313,2400,0
901,1261,1040,2268,0
902,4086,1213,3346,1
903,43,164,1939,0
904,799,300,45,1
905,4922,601,1672,0
906,3431,3267,2820,1
907,3153,549,1026,0
908,3446,3104,1476,0
909,1918,1168,1080,1
910,2874,2257,2254,0
911,5252,3540,1584,1
912,5846,782,3128,0
913,4849,1766,3669,1
914,4597,3381,3418,0
915,5891,97,3284,1
916,3128,251,2425,1
917,1938,2588,3102,0
918,3762,3390,2723,0
919,5036,2016,3337,0
920,2945,828,2701,0
921,5580,2353,3164,0
922,3101,3673,296,0
923,4103,3640,2697,1
924,6030,307,3189,0
925,704,2287,2077,1
926,1901,1143,1546,1
927,128,1786,102,1
928,4336,2211,2494,0
929,5968,2503,2167,1
930,5494,987,1392,1
931,3329,1849,863,0
932,721,1720,1594,1
933,205,2975,565,1
934,4096,902,3523,1
935,2022,1064,3658,1
936,5743,2491,2839,0
937,1132,406,1081,0
938,4110,925,9,0
939,343,390,360,0
940,1689,418,2804,1
941,2287,2842,2648,0
942,2036,3621,92,1
943,816,3214,1256,0
944,4476,2990,2470,0
945,2775,1131,3655,1
946,2951,849,1397,1
947,3529,2410,41,0
948,2148,1550,3033,0
949,2116,3301,695,0
950,54,2388,3314,0
951,3340,2390,3023,1
952,4287,869,2734,1
953,2658,3236,161,1
954,629,1705,924,1
955,66,2268,449,1
956,2776,1883,510,0
957,5863,3086,2564,0
958,109,2682,1095,1
959,594,1465,3214,1
960,4818,734,1041,0
961,72,1518,2407,1
962,5954,814,199,0
963,3688,2697,999,0
964,3597,2735,3183,0
965,1571,2832,1260,0
966,4512,764,962,1
967,4879,2898,434,0
968,247,3365,1732,0
969,690,2348,3533,1
970,170,3009,2855,1
971,5349,1357,1926,1
972,179,405,2831,0
973,37,1338,2815,0
974,2419,1965,219,0
975,1768,126,2886,0
976,1487,3265,1953,1
977,2492,297,859,1
978,2367,2329,2066,1
979,2608,328,647,1
980,192,2893,533,1
981,3552,1708,3501,0
982,1562,593,1710,1
983,810,1043,2482,0
984,416,2390,3360,0
985,3796,2870,1592,1
986,663,746,1028,1
987,5726,127,1,0
988,5983,1197,2466,1
989,1153,2401,3014,0
990,5405,1546,2270,0
991,5587,842,2538,1
992,1549,2609,2927,0
993,3647,3700,918,1
994,4371,2251,1017,1
995,3499,1485,18,1
996,2246,1502,2705,1
997,4050,780,2992,1
998,4618,137,1261,0
999,4645,2909,1323,1
1000,3984,924,1830,0
1001,3102,3213,1006,1
1002,4733,1290,361,1
1003,2398,3675,517,0
1004,1660,1683,857,1
1005,5299,2815,1711,0
1006,4388,3689,1878,0
1007,3501,3393,1870,0
1008,2762,1387,2257,1
1009,980,271,2618,0
1010,5608,3575,3540,0
1011,4968,65,2627,0
1012,336,2187,249,1
1013,2058,859,647,1
1014,2413,3221,3346,0
1015,1331,1553,2945,0
1016,4054,877,424,0
1017,4196,3210,1486,1
1018,3991,1174,2934,0
1019,5839,2799,1584,1
1020,3561,3481,959,1
1021,2472,589,1832,1
1022,713,307,3541,1
1023,178,1218,843,0
1024,1013,2866,1832,1
1025,3609,2028,1082,0
1026,1781,901,2832,1
1027,5257,406,2266,0
1028,1910,2412,127,1
1029,32,1411,3200,1
1030,5997,2939,2214,1
1031,3818,3118,2112,0
1032,2121,1112,1476,0
1033,1053,63,2683,0
1034,539,3015,3170,0
1035,5171,866,842,1
1036,1564,1197,71,1
1037,5685,1360,3383,0
1038,4251,875,483,0
1039,1798,1526,1441,1
1040,516,334,2023,0
1041,4659,1895,1089,1
1042,3400,726,2901,0
1043,2565,1926,2276,0
1044,597,3620,3546,0
1045,2541,873,3195,0
1046,5369,2504,2099,1
1047,3619,223,2020,0
1048,5388,226,2174,0
1049,2661,3226,3506,0
1050,4385,453,2070,0
1051,4774,3694,3547,0
1052,2434,581,15,1
1053,4673,379,2319,1
1054,5172,2211,1041,0
1055,2807,2261,2971,0
1056,1004,2307,1484,1
1057,4347,1851,1095,1
1058,2355,2349,3392,1
1059,879,1993,542,0
1060,4619,227,1448,1
1061,1351,2184,3437,0
1062,3454,3268,2437,0
1063,5826,3306,1290,1
1064,712,1019,632,0
1065,2442,3209,2513,0
1066,1088,3062,1884,0
1067,3146,3507,1790,0
1068,4504,2490,3435,0
1069,1419,1367,2257,1
1070,2656,3196,1775,1
1071,4227,1785,941,0
1072,705,898,3064,1
1073,2115,3108,2304,1
1074,3154,1033,40,1
1075,839,919,3411,1
1076,3378,1449,3127,1
1077,5167,527,2032,1
1078,4447,1441,8,0
1079,2918,3488,3110,1
1080,2218,2758,569,1
1081,2228,816,189,1
1082,4177,1598,2352,1
1083,2081,2511,3246,0
1084,3808,1611,3428,0
1085,3937,3455,2271,1
1086,6021,1002,621,0
1087,4234,145,1920,0
1088,1962,2848,3275,0
1089,5595,2181,1397,1
1090,4363,1520,1109,0
1091,5688,101,2555,1
1092,4728,3006,532,1
1093,3849,3181,2257,1
1094,4513,1591,1704,1
1095,5751,3298,2287,1
1096,73,1529,760,0
1097,501,2986,452,0
1098,4091,2888,2317,0
1099,5268,1267,710,0
1100,3965,2139,888,1
1101,313,413,2371,0
1102,2906,1410,3118,1
1103,4821,1234,900,0
1104,3831,2251,1183,1
1105,2543,2812,1614,1
1106,2610,1429,2355,1
1107,1477,1797,313,1
1108,4905,3346,2186,0
1109,2404,2782,60,1
1110,5806,838,3054,0
1111,2090,1635,3133,0
1112,5061,1214,1687,0
1113,5249,833,743,0
1114,3337,3423,621,0
1115,3957,552,2163,1
1116,1680,3018,3174,0
1117,2642,2689,1927,0
1118,5177,3114,3196,1
1119,702,2413,3673,1
1120,340,609,55,0
1121,954,780,1095,1
1122,3068,2645,1417,0
1123,305,1357,1096,1
1124,8,2246,3580,0
1125,2513,3400,3635,1
1126,4352,1314,1869,0
1127,5903,2349,1775,1
1128,5216,1720,3003,1
1129,397,857,1971,0
1130,732,3003,618,0
